naics_code_2022,naics_title_2022,status_code,naics_codes_2017,naics_titles_2017
459130,"Sewing, Needlework, and Piece Goods Retailers",N,451130|454110|454390,"Sewing, Needlework, and Piece Goods Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
459140,Musical Instrument and Supplies Retailers,N,451140|454110|454390,Musical Instrument and Supplies Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459210,Book Retailers and News Dealers,N,451211|451212|454110|454390,Book Stores|News Dealers and Newsstands|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459310,Florists,N,453110|454110|454390,Florists|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459410,Office Supplies and Stationery Retailers,N,453210|454110|454390,Office Supplies and Stationery Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459420,"Gift, Novelty, and Souvenir Retailers",N,453220|454110|454390,"Gift, Novelty, and Souvenir Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
459510,Used Merchandise Retailers,N,453310|454110|454390,Used Merchandise Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459910,Pet and Pet Supplies Retailers,N,453910|454110|454390,Pet and Pet Supplies Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459920,Art Dealers,N,453920|454110|454390,Art Dealers|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459930,Manufactured (Mobile) Home Dealers,N,453930,Manufactured (Mobile) Home Dealers
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",N,453991|453998|454110|454390,"Tobacco Stores|All Other Miscellaneous Store Retailers (except Tobacco Stores) - electronic cigarette stores and marijuana stores, medical or recreational|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
459999,All Other Miscellaneous Retailers,N,453998|454110|454390,"All Other Miscellaneous Store Retailers (except Tobacco Stores) - except general merchandise auction houses, electronic cigarette stores, and marijuana stores, medical or recreational|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
513110,Newspaper Publishers,N,511110|519130,Newspaper Publishers|Internet Publishing and Broadcasting and Web Search Portals - Internet newspaper publishers
