naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,direct,327999,408,11801,796239000,67472.16
331110,Iron and Steel Mills and Ferroalloy Manufacturing,direct,331110,314,79317,8554524000,107852.34
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,direct,331210,260,24835,2061740000,83017.52
331221,Rolled Steel Shape Manufacturing,direct,331221,230,13191,1095576000,83054.81
331222,Steel Wire Drawing,direct,331222,219,14714,933736000,63459.02
331313,Alumina Refining and Primary Aluminum Production,direct,331313,34,4197,357866000,85267.1
331314,Secondary Smelting and Alloying of Aluminum,direct,331314,95,5712,421363000,73768.03
331315,"Aluminum Sheet, Plate and Foil Manufacturing",direct,331315,80,18643,1675813000,89889.66
331318,"Other Aluminum Rolling, Drawing, and Extruding",direct,331318,233,29679,1776091000,59843.36
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,direct,331410,115,7597,618189000,81372.78
331420,"Copper Rolling, Drawing, Extruding, and Alloying",direct,331420,222,25199,1777262000,70529.07
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing and Extruding",direct,331491,225,13100,1017391000,77663.44
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",direct,331492,185,9146,716167000,78303.85
331511,Iron Foundries,direct,331511,286,32406,2270855000,70075.14
331512,Steel Investment Foundries,direct,331512,112,14381,929988000,64667.83
331513,Steel Foundries (except Investment),direct,331513,148,9824,615521000,62654.82
331523,Nonferrous Metal Die-Casting Foundries,direct,331523,321,28481,1702245000,59767.74
331524,Aluminum Foundries (except Die‑Casting),direct,331524,264,12093,750112000,62028.61
331529,Other Nonferrous Metal Foundries (except Die-Casting),direct,331529,236,9207,586326000,63682.63
332111,Iron and Steel Forging,direct,332111,253,16339,1146736000,70183.98
332112,Nonferrous Forging,direct,332112,52,5695,415784000,73008.6
332114,Custom Roll Forming,direct,332114,391,16187,1082533000,66876.69
332117,Powder Metallurgy Part Manufacturing,direct,332117,140,8765,499694000,57010.15
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",direct,332119,1145,46966,2837496000,60415.96
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",direct,332215,213,7428,474043000,63818.39
332216,Saw Blade and Handtool Manufacturing,direct,332216,819,25743,1541539000,59881.87
332311,Prefabricated Metal Building and Component Manufacturing,direct,332311,799,28109,1937492000,68927.82
332312,Fabricated Structural Metal Manufacturing,direct,332312,3430,107516,7345384000,68318.99
332313,Plate Work Manufacturing,direct,332313,1694,43272,2700286000,62402.62
332321,Metal Window and Door Manufacturing,direct,332321,1018,59168,3387109000,57245.62
332322,Sheet Metal Work Manufacturing,direct,332322,4605,124704,7548072000,60527.91
332323,Ornamental and Architectural Metal Work Manufacturing,direct,332323,2801,41418,2376650000,57382.06
332410,Power Boiler and Heat Exchanger Manufacturing,direct,332410,258,22715,1758926000,77434.56
332420,Metal Tank (Heavy Gauge) Manufacturing,direct,332420,708,34002,2314545000,68070.85
332431,Metal Can Manufacturing,direct,332431,175,21594,1735284000,80359.54
332439,Other Metal Container Manufacturing,direct,332439,276,10359,569827000,55007.92
